choice	experiment_id	weight	p_zone	a_zone	outward_period	return_period	purpose	CarOwnershipConstant23	WAWE_Cost_Outward	KAWE_Cost_Outward	Bicycle_Cost_Outward	Walk_Cost_Return	Car_Cost_Return	Car_Cost_Outward	WAPE_Cost_Return	Bicycle_Cost_Return	a_CBDNonCore	WAWE_Cost_Return	Walk_Cost_Outward	a_CBDCore	CarOwnershipConstant0	PAWE_Cost_Outward	a_OuterFrame	WAKE_Cost_Return	a_CBDFrame	Bicycle_av	Car_av	PT_Kiss_Access_av	PT_Park_Access_av	PT_Walk_Access_av	Walk_av
2	12545	115.178076834445	2021	2075	15	0	1001	1	2839.06030273438	1853.36486816406	590.880004882812	0.0	0.0	258.533752441406	0.0	0.0	0	0.0	2363.52001953125	0	0	1876.21240234375	0	0.0	0	1	1	1	1	1	1
2	12546	156.948927369835	2021	2018	0	15	1001	1	0.0	0.0	0.0	937.727905273438	117.265106201172	0.0	2568.82104492188	234.431976318359	0	2400.62841796875	0.0	0	0	0.0	0	2568.82104492188	0	1	1	1	1	1	1
2	12547	141.287629807147	2149	3401	0	15	1001	1	0.0	0.0	0.0	53261.55859375	2676.73120117188	0.0	8006.67431640625	9051.359375	0	10013.34765625	0.0	0	0	0.0	0	8006.67431640625	0	1	1	1	1	1	1
2	12548	197.797969246946	2097	1246	15	0	1001	1	2984.54736328125	2220.05615234375	2532.67163085938	0.0	0.0	835.649780273438	0.0	0.0	0	0.0	10416.384765625	0	0	2265.6787109375	0	0.0	0	1	1	1	1	1	1
2	12549	250.179274784375	1927	912	15	0	1001	1	5554.99267578125	5026.5966796875	5975.80859375	0.0	0.0	2119.13134765625	0.0	0.0	0	0.0	23903.232421875	0	0	5033.458984375	0	0.0	0	1	1	1	1	1	1
2	12550	76.3399104598854	1810	1151	0	15	1001	0	0.0	0.0	0.0	7000.70458984375	505.325744628906	0.0	3068.56298828125	1526.97607421875	0	4124.998046875	0.0	0	0	0.0	0	3068.56298828125	0	1	1	1	1	1	1
2	12551	38.6939780086713	1810	1137	0	15	1001	0	0.0	0.0	0.0	2353.919921875	253.328125	0.0	1343.12829589844	588.47998046875	0	2399.4921875	0.0	0	0	0.0	0	1343.12829589844	0	1	1	1	1	1	1
2	12552	41.1149153525161	1810	132	15	0	1001	1	3839.68872070312	2837.35302734375	3672.09594726562	0.0	0.0	1604.6669921875	0.0	0.0	1	0.0	14688.3837890625	0	0	2887.25122070312	0	0.0	0	1	1	1	1	1	1
2	12553	69.0578377973213	2018	1588	15	0	1001	1	4976.43359375	3790.36083984375	2409.7919921875	0.0	0.0	994.815002441406	0.0	0.0	0	0.0	9714.8154296875	0	0	3813.53149414062	0	0.0	0	1	1	1	1	1	1
2	12554	86.2891279026503	2028	1709	15	0	1001	1	2760.28930664062	1877.21618652344	1079.90380859375	0.0	0.0	504.366058349609	0.0	0.0	0	0.0	4319.6171875	0	0	1903.80554199219	0	0.0	0	1	1	1	1	1	1
