choice	experiment_id	weight	p_zone	a_zone	outward_period	return_period	purpose	CarOwnershipConstant23	WAWE_Cost_Outward	KAWE_Cost_Outward	Bicycle_Cost_Outward	Walk_Cost_Return	Car_Cost_Return	Car_Cost_Outward	WAPE_Cost_Return	Bicycle_Cost_Return	a_CBDNonCore	WAWE_Cost_Return	Walk_Cost_Outward	a_CBDCore	CarOwnershipConstant0	PAWE_Cost_Outward	a_OuterFrame	WAKE_Cost_Return	a_CBDFrame	Bicycle_av	Car_av	PT_Kiss_Access_av	PT_Park_Access_av	PT_Walk_Access_av	Walk_av
2	7220	13.3084749378583	3260	3216	0	14	1001	1	0.0	0.0	0.0	44607.18359375	5417.8857421875	0.0	291564.625	15013.9716796875	0	519513.40625	0.0	0	0	0.0	0	291564.625	0	1	1	1	1	1	1
2	7221	6.35828313386608	3260	3292	0	14	1001	0	0.0	0.0	0.0	3406.42114257812	584.052062988281	0.0	6560.5810546875	1193.22741699219	0	6872.25732421875	0.0	0	0	0.0	0	6560.5810546875	0	1	1	1	1	1	1
2	7222	13.2352548153072	3309	3343	0	14	1001	0	0.0	0.0	0.0	1087.10876464844	178.039886474609	0.0	4071.62060546875	371.667022705078	0	4967.36572265625	0.0	0	0	0.0	0	4071.62060546875	0	1	1	1	1	1	1
2	7223	29.5505155849377	3308	3333	0	14	1001	1	0.0	0.0	0.0	967.570861816406	161.861206054688	0.0	3902.81860351562	330.950805664062	0	5019.21630859375	0.0	0	0	0.0	0	3902.81860351562	0	1	1	1	1	1	1
2	7224	22.2914303943523	3315	3490	0	14	1001	1	0.0	0.0	0.0	1931.56884765625	342.874267578125	0.0	4608.74853515625	655.947692871094	0	5038.47119140625	0.0	0	0	0.0	0	4608.74853515625	0	1	1	1	1	1	1
2	7225	3.98956765853083	3443	3303	0	14	1001	0	0.0	0.0	0.0	829.621215820312	260.768218994141	0.0	3655.8359375	286.066772460938	0	3729.65405273438	0.0	0	0	0.0	0	3655.8359375	0	1	1	1	1	1	1
2	7226	7.75358133392226	3448	3353	0	14	1001	0	0.0	0.0	0.0	1536.40686035156	289.278869628906	0.0	4765.09130859375	547.584777832031	0	5191.70849609375	0.0	0	0	0.0	0	4765.09130859375	0	1	1	1	1	1	1
2	7227	6.30391562298665	3288	3314	0	14	1001	0	0.0	0.0	0.0	2953.55004882812	552.425842285156	0.0	4369.00634765625	997.661376953125	0	4254.94580078125	0.0	0	0	0.0	0	4369.00634765625	0	1	1	1	1	1	1
2	7228	7.77775970768165	3288	3303	0	14	1001	0	0.0	0.0	0.0	4165.1435546875	857.790466308594	0.0	4715.58935546875	1405.96838378906	0	4601.5283203125	0.0	0	0	0.0	0	4715.58935546875	0	1	1	1	1	1	1
2	7229	3.90237586320675	3329	3303	0	14	1001	0	0.0	0.0	0.0	1490.51513671875	381.834045410156	0.0	4010.64697265625	511.494415283203	0	3870.52465820312	0.0	0	1	0.0	0	4010.64697265625	0	1	1	1	1	1	1
2	7230	58.8896330868501	3329	3322	0	14	1001	1	0.0	0.0	0.0	492.991271972656	111.629951477051	0.0	3872.07348632812	181.688583374023	0	3717.63305664062	0.0	0	0	0.0	0	3872.07348632812	0	1	1	1	1	1	1
2	7231	12.2185489365334	3329	3303	0	14	1001	0	0.0	0.0	0.0	1490.51513671875	381.834045410156	0.0	4010.64697265625	511.494415283203	0	3870.52465820312	0.0	0	0	0.0	0	4010.64697265625	0	1	1	1	1	1	1
2	7232	3.92259975581513	3321	3292	0	14	1001	0	0.0	0.0	0.0	4884.29541015625	796.0712890625	0.0	7313.11181640625	1684.56970214844	0	10620.2861328125	0.0	0	1	0.0	0	7313.11181640625	0	1	1	1	1	1	1
2	7233	3.89799817266073	3440	3302	0	14	1001	0	0.0	0.0	0.0	781.531188964844	165.051223754883	0.0	4212.11865234375	267.609405517578	0	4389.6689453125	0.0	0	1	0.0	0	4212.11865234375	0	1	1	1	1	1	1
2	7234	3.9115681025267	3440	3275	0	14	1001	0	0.0	0.0	0.0	420.71875	94.9214248657227	0.0	3866.34448242188	151.552200317383	0	4117.470703125	0.0	0	0	0.0	0	3866.34448242188	0	1	1	1	1	1	1
2	7235	11.7696998083924	3440	3295	0	14	1001	0	0.0	0.0	0.0	462.488433837891	92.9008483886719	0.0	3958.68408203125	164.009796142578	0	4328.44384765625	0.0	0	0	0.0	0	3958.68408203125	0	1	1	1	1	1	1
2	7236	3.90249805938064	3440	3343	0	14	1001	0	0.0	0.0	0.0	1174.22045898438	201.395904541016	0.0	4887.58935546875	397.772979736328	0	5080.3408203125	0.0	0	0	0.0	0	4887.58935546875	0	1	1	1	1	1	1
2	7237	22.0876540107522	3489	4793	0	14	1001	0	0.0	0.0	0.0	58729.44140625	7090.22216796875	0.0	301861.40625	19962.6640625	0	521854.40625	0.0	0	0	0.0	0	301861.40625	0	1	1	1	1	1	1
2	7238	3.91245413603676	3351	3481	0	14	1001	0	0.0	0.0	0.0	1316.84167480469	271.044555664062	0.0	4390.8349609375	463.862365722656	0	4644.4716796875	0.0	0	1	0.0	0	4390.8349609375	0	1	1	1	1	1	1
2	7239	166.775107142806	3353	3300	0	14	1001	1	0.0	0.0	0.0	1953.82775878906	365.856109619141	0.0	4527.62841796875	682.374206542969	0	4941.73779296875	0.0	0	0	0.0	0	4527.62841796875	0	1	1	1	1	1	1
2	7240	4.1675700469421	3286	3303	0	14	1001	0	0.0	0.0	0.0	4273.96435546875	883.668090820312	0.0	4864.625	1444.44018554688	0	5354.6181640625	0.0	0	0	0.0	0	4864.625	0	1	1	1	1	1	1
2	7241	10.7450803148453	3195	3186	0	14	1001	0	0.0	0.0	0.0	20155.205078125	2517.5654296875	0.0	206892.828125	6999.70556640625	0	425161.375	0.0	0	0	0.0	0	206892.828125	0	1	1	1	1	1	1
2	7242	28.3525663352786	3285	3304	0	14	1001	1	0.0	0.0	0.0	4767.50537109375	918.018310546875	0.0	6431.23974609375	1652.55529785156	0	7406.9853515625	0.0	0	0	0.0	0	6431.23974609375	0	1	1	1	1	1	1
2	7243	3.90089468849183	3431	3338	0	14	1001	0	0.0	0.0	0.0	2566.08227539062	355.302185058594	0.0	4746.57177734375	862.963439941406	0	4555.74951171875	0.0	0	0	0.0	0	4746.57177734375	0	1	1	1	1	1	1
2	7244	22.3443342269605	3435	3436	14	0	1001	1	3572.26123046875	3704.37768554688	113.62979888916	0.0	0.0	54.3505020141602	0.0	0.0	0	0.0	317.393981933594	0	0	3704.37768554688	0	0.0	0	1	1	1	1	1	1
2	7245	3.9171824425805	3235	3282	0	14	1001	0	0.0	0.0	0.0	2722.16870117188	429.424072265625	0.0	4882.904296875	918.289855957031	0	5898.48779296875	0.0	0	1	0.0	0	4882.904296875	0	1	1	1	1	1	1
2	7246	111.09124405164	3237	3302	0	14	1001	1	0.0	0.0	0.0	2133.822265625	445.994903564453	0.0	4515.86572265625	716.128845214844	0	4620.158203125	0.0	0	0	0.0	0	4515.86572265625	0	1	1	1	1	1	1
